Indian Test cricketers,Batting,Bowling,Fielding,Cap,Name,First,Last,Mat,Runs,HS,Avg,100/50,Wkt,BBI,Ave,5/10 wicket,Ca,St
275,Ravindra Jadeja,2012,2024,72,3036,,,0.0,294.0,7/42,24.13,13/2,42.0,0,0,0,0,0
276,Bhuvneshwar Kumar,2013,2018,21,552,,,0.0,63.0,6/82,26.09,4/0,8.0,0,0,0,0,0
277,Shikhar Dhawan,2013,2018,34,2315,,,0.0,0.0,,0.0,0/0,28.0,0,0,0,0,0
278,Ajinkya Rahane,2013,2023,85,5077,,,0.0,0.0,,0.0,,102.0,0,0,0,0,0
279,Mohammed Shami,2013,2023,64,750,,,0.0,229.0,6/56,27.71,6/0,16.0,0,0,0,0,0
280,Rohit Sharma,2013,2024,59,4137,,,0.0,2.0,1/26,112.0,0/0,60.0,0,0,0,0,0
281,Stuart Binny,2014,2015,6,194,,,0.0,3.0,2/24,86.0,0/0,4.0,0,0,0,0,0
282,Pankaj Singh,2014,2014,2,10,,,0.0,2.0,2/113,146.0,0/0,2.0,0,0,0,0,0
283,Karn Sharma,2014,2014,1,8,,,0.0,4.0,2/95,59.5,0/0,0.0,0,0,0,0,0
284,KL Rahul,2014,2024,49,2755,,,0.0,0.0,,0.0,,62.0,0,0,0,0,0
285,Naman Ojha,2015,2015,1,56,,,0.0,0.0,,0.0,,4.0,1,0,0,0,0
286,Jayant Yadav,2016,2022,6,248,,,0.0,16.0,4/49,29.06,0/0,3.0,0,0,0,0,0
287,Karun Nair,2016,2017,6,374,,,0.0,0.0,,0.0,0/0,6.0,0,0,0,0,0
288,Kuldeep Yadav,2017,2024,12,191,,,0.0,53.0,5/40,21.05,4/0,3.0,0,0,0,0,0
289,Hardik Pandya,2017,2018,11,532,,,0.0,17.0,5/28,31.05,1/0,7.0,0,0,0,0,0
290,Jasprit Bumrah,2018,2024,36,271,,,0.0,159.0,6/27,20.69,10/0,14.0,0,0,0,0,0
291,Rishabh Pant,2018,2022,33,2271,,,0.0,0.0,,0.0,,119.0,14,0,0,0,0
292,Hanuma Vihari,2018,2022,16,839,,,0.0,5.0,3/37,36.0,0/0,4.0,0,0,0,0,0
293,Prithvi Shaw,2018,2020,5,339,,,0.0,0.0,,0.0,,2.0,0,0,0,0,0
294,Shardul Thakur,2018,2023,11,331,,,0.0,31.0,7/61,28.38,1/0,5.0,0,0,0,0,0
295,Mayank Agarwal,2018,2022,21,1488,,,0.0,0.0,,0.0,,14.0,0,0,0,0,0
296,Shahbaz Nadeem,2019,2021,2,1,,,0.0,8.0,2/18,34.12,0/0,1.0,0,0,0,0,0
297,Shubman Gill,2020,2024,25,1492,,,0.0,0.0,,0.0,,21.0,0,0,0,0,0
298,Mohammed Siraj,2020,2024,27,104,,,0.0,74.0,6/15,29.68,3/0,14.0,0,0,0,0,0
299,Navdeep Saini,2021,2021,2,8,,,0.0,4.0,2/54,43.0,0/0,1.0,0,0,0,0,0
300,Thangarasu Natarajan,2021,2021,1,1,,1970-01-01,0.0,3.0,3/78,39.66,0/0,0.0,0,0,0,0,0
301,Washington Sundar,2021,2021,4,265,,,0.0,6.0,3/89,49.83,0/0,1.0,0,0,0,0,0
302,Axar Patel,2021,2023,12,513,,,0.0,50.0,6/38,17.16,5/1,3.0,0,0,0,0,0
303,Shreyas Iyer,2021,2024,12,707,,,0.0,0.0,,0.0,0/0,14.0,0,0,0,0,0
304,K. S. Bharat,2023,2023,5,129,,,0.0,0.0,,0.0,,12.0,1,0,0,0,0
305,Suryakumar Yadav,2023,2023,1,8,,,0.0,0.0,,0.0,,19.0,0,0,0,0,0
306,Yashasvi Jaiswal,2023,2024,9,1028,,,0.0,0.0,,0.0,,9.0,0,0,0,0,0
307,Ishan Kishan,2023,2023,2,78,,,0.0,0.0,,0.0,,5.0,0,0,0,0,0
308,Mukesh Kumar,2023,2024,2,0,,1970-01-01,0.0,6.0,2/0,18.16,0/0,0.0,0,0,0,0,0
309,Prasidh Krishna,2023,2024,2,0,,1970-01-01,0.0,2.0,1/27,65.0,0/0,0.0,0,0,0,0,0
310,Rajat Patidar,2024,2024,3,63,,,0.0,0.0,–,0.0,–,4.0,0,0,0,0,0
311,Sarfaraz Khan,2024,2024,3,200,,,0.0,0.0,–,0.0,–,3.0,0,0,0,0,0
312,Dhruv Jurel,2024,2024,3,190,,,0.0,0.0,–,0.0,–,5.0,2,0,0,0,0
313,Akash Deep,2024,2024,1,9,,,0.0,3.0,3/83,27.66,0/0,0.0,0,0,0,0,0
314,Devdutt Padikkal,2024,2024,1,65,,,0.0,0.0,–,0.0,–,2.0,0,0,0,0,0
